barcode,cat_code,cat_desc,rng_code,rng_desc,sku_code,sku_desc,lifecycle_desc,contents_unit,contents_value,physical_height,physical_length,physical_width,physical_unit,weight_unit,weight_value
190122566,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015868,GIFT BOX COUPLE W/MUSK,UNKNOWN,,,,,,,Grams,1
2000000142470,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015868,GIFT BOX COUPLE W/MUSK,UNKNOWN,,,,,,,Grams,1
190114670,19,CELEBRATIONS/10,011,BATH & BODY,0000000015869,GIFT DUO B/ LOTION XM10,UNKNOWN,,,,,,,Grams,1
2000000142487,19,CELEBRATIONS/10,011,BATH & BODY,0000000015869,GIFT DUO B/ LOTION XM10,UNKNOWN,,,,,,,Grams,1
190114688,19,CELEBRATIONS/10,011,BATH & BODY,0000000015870,GIFT DUO FRUITY XM10,UNKNOWN,,,,,,,Grams,1
2000000142494,19,CELEBRATIONS/10,011,BATH & BODY,0000000015870,GIFT DUO FRUITY XM10,UNKNOWN,,,,,,,Grams,1
190114696,19,CELEBRATIONS/10,011,BATH & BODY,0000000015871,GIFT COS BAG STRAW B XM10,UNKNOWN,,,,,,,Grams,1
2000000142500,19,CELEBRATIONS/10,011,BATH & BODY,0000000015871,GIFT COS BAG STRAW B XM10,UNKNOWN,,,,,,,Grams,1
190114539,19,CELEBRATIONS/10,011,BATH & BODY,0000000015872,GIFT SHOWER MIX FRUITY/FRAG XM10,UNKNOWN,,,,,,,Grams,1
2000000142517,19,CELEBRATIONS/10,011,BATH & BODY,0000000015872,GIFT SHOWER MIX FRUITY/FRAG XM10,UNKNOWN,,,,,,,Grams,1
2000000142647,50,GWP/15,999,OTHERS,0000000015882,GWP - WELLBEING KIT DEEP SLEEP,UNKNOWN,,,,,,,Grams,1
509993144,50,GWP/15,999,OTHERS,0000000015882,GWP - WELLBEING KIT DEEP SLEEP,UNKNOWN,,,,,,,Grams,1
2000000142654,50,GWP/15,999,OTHERS,0000000015883,GWP - WELLBEING KIT DEVINE CALM,UNKNOWN,,,,,,,Grams,1
509993152,50,GWP/15,999,OTHERS,0000000015883,GWP - WELLBEING KIT DEVINE CALM,UNKNOWN,,,,,,,Grams,1
189990388,86,OTHERS/24,867,OTHERS,0000000015884,PIN WORLD AIDS DAY,UNKNOWN,,,6,4,3,Centimeter,Grams,8
2000000142845,86,OTHERS/24,867,OTHERS,0000000015884,PIN WORLD AIDS DAY,UNKNOWN,,,6,4,3,Centimeter,Grams,8
189990396,86,OTHERS/24,867,OTHERS,0000000015885,KEY CHAIN WORLD AIDS DAY,UNKNOWN,,,,,,,Grams,1
2000000142852,86,OTHERS/24,867,OTHERS,0000000015885,KEY CHAIN WORLD AIDS DAY,UNKNOWN,,,,,,,Grams,1
190122582,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015902,XMAS COS BAG PACK 2010 (B),UNKNOWN,,,,,,,Grams,1
2000000143040,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015902,XMAS COS BAG PACK 2010 (B),UNKNOWN,,,,,,,Grams,1
190122590,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015903,XMAS COS BAG PACK 2010 (C),UNKNOWN,,,,,,,Grams,1
2000000143057,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015903,XMAS COS BAG PACK 2010 (C),UNKNOWN,,,,,,,Grams,1
190122607,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015904,XMAS COS BAG PACK 2010 (D),UNKNOWN,,,15,3,6,Centimeter,Grams,85
2000000143064,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015904,XMAS COS BAG PACK 2010 (D),UNKNOWN,,,15,3,6,Centimeter,Grams,85
190122574,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015922,GIFT POUCH AQUA LILY XM10,UNKNOWN,,,,,,,Grams,1
2000000143248,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015922,GIFT POUCH AQUA LILY XM10,UNKNOWN,,,,,,,Grams,1
126120112,12,WOMENS FRAGRANCE/3,612,MOROCCAN ROSE,0000000015923,MOROCCAN ROSE BODY MIST 100ML,OLD PRODUCT NO STOCK,ML,100.000,13,5,5,Centimeter,Grams,113
2000000143255,12,WOMENS FRAGRANCE/3,612,MOROCCAN ROSE,0000000015923,MOROCCAN ROSE BODY MIST 100ML,OLD PRODUCT NO STOCK,ML,100.000,13,5,5,Centimeter,Grams,113
5028197823511,12,WOMENS FRAGRANCE/3,612,MOROCCAN ROSE,0000000015923,MOROCCAN ROSE BODY MIST 100ML,OLD PRODUCT NO STOCK,ML,100.000,13,5,5,Centimeter,Grams,113
180111404,19,CELEBRATIONS/10,018,ACCESSORIES,0000000015924,B/ LILY MINI ULTRA FINE CREAM,DISCON PRODUCT NON ORDERABLE,#,0.000,8,8,8,Centimeter,Grams,20
2000000143262,19,CELEBRATIONS/10,018,ACCESSORIES,0000000015924,B/ LILY MINI ULTRA FINE CREAM,DISCON PRODUCT NON ORDERABLE,#,0.000,8,8,8,Centimeter,Grams,20
5028197865108,19,CELEBRATIONS/10,018,ACCESSORIES,0000000015924,B/ LILY MINI ULTRA FINE CREAM,DISCON PRODUCT NON ORDERABLE,#,0.000,8,8,8,Centimeter,Grams,20
180180053,18,ACCESSORIES/9,900,LIMITED EDITION,0000000015925,GIFT NAIL CLIPPERS MINI XM09,UNKNOWN,,,1,6,2,Centimeter,Grams,14
2000000143279,18,ACCESSORIES/9,900,LIMITED EDITION,0000000015925,GIFT NAIL CLIPPERS MINI XM09,UNKNOWN,,,1,6,2,Centimeter,Grams,14
180180045,18,ACCESSORIES/9,900,LIMITED EDITION,0000000015926,BAG COS W/ FILER BLACK XM10,UNKNOWN,,,10,19,2,Centimeter,Grams,4
2000000143286,18,ACCESSORIES/9,900,LIMITED EDITION,0000000015926,BAG COS W/ FILER BLACK XM10,UNKNOWN,,,10,19,2,Centimeter,Grams,4
190122615,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015942,GIFT BOX LOVE ETC XM10,UNKNOWN,,,,,,,Grams,1
2000000143446,19,CELEBRATIONS/10,012,WOMENS FRAGRANCE,0000000015942,GIFT BOX LOVE ETC XM10,UNKNOWN,,,,,,,Grams,1
180111412,18,ACCESSORIES/9,011,BATH & BODY,0000000015943,BATH GLOVES GIFT PINK XM10,UNKNOWN,,,14,19,8,Centimeter,Grams,28
2000000143453,18,ACCESSORIES/9,011,BATH & BODY,0000000015943,BATH GLOVES GIFT PINK XM10,UNKNOWN,,,14,19,8,Centimeter,Grams,28
180111420,18,ACCESSORIES/9,900,LIMITED EDITION,0000000015944,BATH GLOVES GIFT CORAL XM10,DISCON PRODUCT NON ORDERABLE,#,0.000,1,19,16,Centimeter,Grams,26
2000000143460,18,ACCESSORIES/9,900,LIMITED EDITION,0000000015944,BATH GLOVES GIFT CORAL XM10,DISCON PRODUCT NON ORDERABLE,#,0.000,1,19,16,Centimeter,Grams,26
5028197866211,18,ACCESSORIES/9,900,LIMITED EDITION,0000000015944,BATH GLOVES GIFT CORAL XM10,DISCON PRODUCT NON ORDERABLE,#,0.000,1,19,16,Centimeter,Grams,26
190114711,19,CELEBRATIONS/10,011,BATH & BODY,0000000015945,GIFT BOX SML WILD CHERRY B - XM10,UNKNOWN,,,,,,,Grams,1
2000000143477,19,CELEBRATIONS/10,011,BATH & BODY,0000000015945,GIFT BOX SML WILD CHERRY B - XM10,UNKNOWN,,,,,,,Grams,1
2000000143484,50,GWP/15,999,OTHERS,0000000015946,DRUM BORN LIPPY- BSI,UNKNOWN,,,25,13,8,Centimeter,Grams,64
509993160,50,GWP/15,999,OTHERS,0000000015946,DRUM BORN LIPPY- BSI,UNKNOWN,,,25,13,8,Centimeter,Grams,64
2000000143491,19,CELEBRATIONS/10,906,COMPONENTRY,0000000015947,WHITE MUSK DUO BOX - BSI,UNKNOWN,,,,,,,Grams,1
509993178,19,CELEBRATIONS/10,906,COMPONENTRY,0000000015947,WHITE MUSK DUO BOX - BSI,UNKNOWN,,,,,,,Grams,1
2000000143507,50,GWP/15,804,POUCH,0000000015948,GWP-POUCH COS STRIPE SP 10,UNKNOWN,,,,,,,Grams,1
508043403,50,GWP/15,804,POUCH,0000000015948,GWP-POUCH COS STRIPE SP 10,UNKNOWN,,,,,,,Grams,1
2000000143514,50,GWP/15,804,POUCH,0000000015949,GWP-POUCH COSYEL/WHITE,UNKNOWN,,,,,,,Grams,1
508043411,50,GWP/15,804,POUCH,0000000015949,GWP-POUCH COSYEL/WHITE,UNKNOWN,,,,,,,Grams,1
2000000143521,50,GWP/15,801,BAG,0000000015950,GWP-BAG COS PEACH FLORAL 10,UNKNOWN,,,19,2,5,Centimeter,Grams,53
508011723,50,GWP/15,801,BAG,0000000015950,GWP-BAG COS PEACH FLORAL 10,UNKNOWN,,,19,2,5,Centimeter,Grams,53
2000000143538,50,GWP/15,801,BAG,0000000015951,GWP-BAG TOILETRY STRIPE SP10,UNKNOWN,,,21,27,8,Centimeter,Grams,72
508011731,50,GWP/15,801,BAG,0000000015951,GWP-BAG TOILETRY STRIPE SP10,UNKNOWN,,,21,27,8,Centimeter,Grams,72
2000000143545,50,GWP/15,801,BAG,0000000015952,GWP-BAG TOILETRY RECYLED PLASTICK SP10,UNKNOWN,,,,,,,Grams,1
508011749,50,GWP/15,801,BAG,0000000015952,GWP-BAG TOILETRY RECYLED PLASTICK SP10,UNKNOWN,,,,,,,Grams,1
